Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16A,Q17A,Q18A,Q19A,Q16B,Q17B,Q18B,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q26,Q26_5_TEXT,Q27,Q28,Q29,Q30,Q30_7_TEXT,Q31,Q31_8_TEXT,Q32,Q33
"Thank you again for agreeing to participate in this survey. We would like to begin by asking you some questions about your understanding of a few terms.

 

 

Please indicate whether you disagree or agree with the following statements: - I am familiar with the term ""genetically modified"" or GM","Thank you again for agreeing to participate in this survey. We would like to begin by asking you some questions about your understanding of a few terms.

 

 

Please indicate whether you disagree or agree with the following statements: - I am familiar with the term ""gene editing""","Thank you again for agreeing to participate in this survey. We would like to begin by asking you some questions about your understanding of a few terms.

 

 

Please indicate whether you disagree or agree with the following statements: - I am familiar with the term ""gene drive""","Before we go further, we will first define a few terms. 

 


	Genetic modification is the process of altering an organism’s genome (its full set of genes) by inserting genes from one organism into another. 
	Gene editing is the process of using a tool that works like a pair of scissors to make edits in an organism’s genes—unlike genetic modification, these edits are targeted to a specific location in the organism’s genome.
	Gene drives are a technique that ensures that an edit is inherited by the next generation and eventually spreads through that organism’s population. 





Based on these definitions, would you say that these three processes—genetic modification, gene editing, and gene drives—seem similar to each other, or different from each other?",Please feel free to explain your reasoning:,Please tell us your “gut feeling” or comfort level with regard to this change to tomatoes:,Please feel free to explain your reasoning:,"Now, what if it were a sweetness gene from a sugar beet, not an heirloom tomato that was used. 
 

How do you feel about this altered version of the application?",Please feel free to explain your reasoning:,Please tell us your “gut feeling” or comfort level with regard to this change to dairy cattle:,Please feel free to explain your reasoning:,"Now, what if this approach were used to increase the milk-producing capacity of the next generation of cattle. 

 

How do you feel about this altered version of the application?",Please feel free to explain your reasoning.,"Please tell us your ""gut feeling"" or comfort level with regard to this change to wheat:",Please feel free to explain your reasoning.,"Now, what if instead of a staple crop like wheat, this technique was applied to a less important crop like blueberries.
 

 How do you feel about this altered version of the application?",Please feel free to explain your reasoning:,"Next, we’d like to ask you a couple questions about some tradeoffs involving gene-edited crops.

 

First, some researchers think that growing gene-edited crops could be used to significantly reduce the volume of pesticides used on farms. This is because those crops would be edited to be resistant to specific pests, and so farms could avoid general spraying.



 

Assuming scientists are right about this, which of the following choices between production of gene-edited crops and pesticide use do you prefer?",Please feel free to add any comments that you had on this question about tradeoffs between gene-edited crops and pesticide use:,"Some researchers also think that use of gene-edited crops could benefit the conservation of biodiversity. This is because edited versions might have higher crop yields per area of land than non-edited ones. Therefore, less land (e.g., forest habitat) would be converted to agriculture.



 

Assuming scientists are right about this, which of the following choices between gene-edited crop production and biodiversity do you prefer?",Please feel free to add any comments that you had on this question about tradeoffs between gene-edited crops and biodiversity:,"Next, we’d like to ask you a couple questions about some tradeoffs involving gene-edited crops.

 

First, some researchers think that growing gene-edited crops could be used to significantly reduce the volume of pesticides used on farms. This is because those crops would be edited to be resistant to specific pests, and so farms could avoid general spraying.



 

Assuming scientists are right about this, which of the following choices between production of gene-edited crops and pesticide use do you prefer?",Please feel free to add any comments that you had on this question about tradeoffs between gene-edited crops and pesticide use:,"Some researchers also think that use of gene-edited crops could benefit the conservation of biodiversity. This is because edited versions might have higher crop yields per area of land than non-edited ones. Therefore, less land (e.g., forest habitat) would be converted to agriculture.

 

Assuming scientists are right about this, which of the following choices between gene-edited crop production and biodiversity do you prefer?",Please feel free to add any comments that you had on this question about tradeoffs between gene-edit,"Next, we will ask you about your views on related topics. Please indicate whether you disagree or agree with the following statements about trust: - I trust scientists to adequately manage the risks associated with genetic technologies","Next, we will ask you about your views on related topics. Please indicate whether you disagree or agree with the following statements about trust: - I trust regulators to make sure the risks of genetic technologies are minimized","Next, we will ask you about your views on related topics. Please indicate whether you disagree or agree with the following statements about trust: - I trust agricultural companies to be conscious of their responsibilities in using genetic technologies","Next, we will ask you about your views on related topics. Please indicate whether you disagree or agree with the following statements about trust: - I trust environmental activists to inform me about any risks of genetic technologies",Please indicate whether you disagree or agree with the following statements about technologies in general: - Hope for the future lies more in people than in technology,Please indicate whether you disagree or agree with the following statements about technologies in general: - The bad effects of technology outweigh its advantages,Please indicate whether you disagree or agree with the following statements about technologies in general: - Future resource shortages will be solved by technology,Please indicate whether you disagree or agree with the following statements about technologies in general: - A country’s progress can be measured by its technological development,"Please indicate whether you disagree or agree with the following statements about technologies in general: - We are worse off than ever, because of the burden of new technologies","Now, please indicate where you disagree or agree with the following statements about climate change: - Climate change poses new risks to forest ecosystems (e.g., extreme natural hazards such as fire, temperature or drought)","Now, please indicate where you disagree or agree with the following statements about climate change: - Scientists agree that the evidence for human-caused climate change is partial at best","Now, please indicate where you disagree or agree with the following statements about climate change: - The unique problems of climate change necessitate more caution than action","Now, please indicate where you disagree or agree with the following statements about climate change: - Human impacts are causing changes at a planetary scale that are destabilizing the functioning of the Earth’s systems","Now, please indicate where you disagree or agree with the following statements about climate change: - A future scientist hundreds of years from now will see this period as the great climate extinction event","Now, please indicate where you disagree or agree with the following statements about climate change: - Climate change will affect some ecosystems so quickly and strongly that large-scale ecosystem changes will follow","Now, please indicate where you disagree or agree with the following statements about climate change: - Many other problems that also impact people globally are more urgent than climate change",These next questions involve opinions about substances or contaminants in everyday life. Please indicate whether you disagree or agree with the following statements: - Naturally occurring hazardous substances are just as worrisome to me as human-made ones,"These next questions involve opinions about substances or contaminants in everyday life. Please indicate whether you disagree or agree with the following statements: - If soil already has a natural level of a substance like nitrogen in it, it probably won’t matter if the concentrations of that substance increase","These next questions involve opinions about substances or contaminants in everyday life. Please indicate whether you disagree or agree with the following statements: - Most people are exposed to so many pollutants every day and remain healthy, so constant low levels of exposure are probably safe",These next questions involve opinions about substances or contaminants in everyday life. Please indicate whether you disagree or agree with the following statements: - Human bodies are slowly evolving to be less tolerant of environmental pollution,"These next questions involve opinions about substances or contaminants in everyday life. Please indicate whether you disagree or agree with the following statements: - It is possible to gain immunity to chemicals, if exposed to low levels for a long time","These next questions involve opinions about substances or contaminants in everyday life. Please indicate whether you disagree or agree with the following statements: - Human bodies are fragile, and so have a poor capacity to withstand toxins",Next we’ll ask you some questions about your thoughts on globalization and corporations. Please indicate whether you disagree or agree with the following statements: - The increasing influence of large corporations is a problem,Next we’ll ask you some questions about your thoughts on globalization and corporations. Please indicate whether you disagree or agree with the following statements: - Globalization has positive impacts for the large majority of people,"Next we’ll ask you some questions about your thoughts on globalization and corporations. Please indicate whether you disagree or agree with the following statements: - I understand that corporations try to make money, but I don’t think they should control knowledge through patents","Next we’ll ask you some questions about your thoughts on globalization and corporations. Please indicate whether you disagree or agree with the following statements: - Global tech monopolies such as Amazon, Apple and Facebook should be broken up","Next, we’ll ask you a few questions about the Green Revolution (~1950-1970), which included a large increase in crop production in developing countries (e.g., India). This increase was because of modern agricultural techniques including things such as fertilizers and pesticides. Please indicate whether you disagree or agree with the following statements: - I was familiar with the meaning of the term “the Green Revolution” before reading this question","Next, we’ll ask you a few questions about the Green Revolution (~1950-1970), which included a large increase in crop production in developing countries (e.g., India). This increase was because of modern agricultural techniques including things such as fertilizers and pesticides. Please indicate whether you disagree or agree with the following statements: - The Green Revolution was a positive development for farmers in countries like India","Next, we’ll ask you a few questions about the Green Revolution (~1950-1970), which included a large increase in crop production in developing countries (e.g., India). This increase was because of modern agricultural techniques including things such as fertilizers and pesticides. Please indicate whether you disagree or agree with the following statements: - Because of the Green Revolution, many fewer people starved or suffered hunger than otherwise would have","Next, we’ll ask you a few questions about the Green Revolution (~1950-1970), which included a large increase in crop production in developing countries (e.g., India). This increase was because of modern agricultural techniques including things such as fertilizers and pesticides. Please indicate whether you disagree or agree with the following statements: - The Green Revolution led to big losses of traditional crops & agricultural biodiversity","Next, we’ll ask you a few questions about the Green Revolution (~1950-1970), which included a large increase in crop production in developing countries (e.g., India). This increase was because of modern agricultural techniques including things such as fertilizers and pesticides. Please indicate whether you disagree or agree with the following statements: - The Green Revolution brought much-needed increases in agricultural productivity","Next, we’ll ask you a few questions about the Green Revolution (~1950-1970), which included a large increase in crop production in developing countries (e.g., India). This increase was because of modern agricultural techniques including things such as fertilizers and pesticides. Please indicate whether you disagree or agree with the following statements: - The Green Revolution has exacerbated inequalities amongst farmers","Next, we’ll ask you a few questions about the Green Revolution (~1950-1970), which included a large increase in crop production in developing countries (e.g., India). This increase was because of modern agricultural techniques including things such as fertilizers and pesticides. Please indicate whether you disagree or agree with the following statements: - The Green Revolution was not necessary; such advances in productivity could have occurred in a more environmentally sustainable manner","Next, we’ll ask you a few questions about the Green Revolution (~1950-1970), which included a large increase in crop production in developing countries (e.g., India). This increase was because of modern agricultural techniques including things such as fertilizers and pesticides. Please indicate whether you disagree or agree with the following statements: - The Green Revolution has contributed to the excessive use of pesticides and fertilizers in modern farming","Great! We’re almost done. To close, we’d like to ask you a final few questions about yourself.   


What is your gender? - Selected Choice","Great! We’re almost done. To close, we’d like to ask you a final few questions about yourself.   


What is your gender? - If these categories do not accurately reflect how you self-identify, use this space to write your response: - Text",What is your birth year?,What is the highest level of formal education you have completed?,Where would you place yourself on the following political spectrum?,What is your race or ethnic background? Select all that apply: - Selected Choice,"What is your race or ethnic background? Select all that apply: - If these categories do not accurately reflect how you self-identify, use this box to write your response - Text","Almost there, just two last questions. Are you currently working for pay or something else? - Selected Choice","Almost there, just two last questions. Are you currently working for pay or something else? - Other (add details here) - Text",How often do you attend religious services?,What is your yearly income?
Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/not sure,,Don't know/not sure,,Don't know/ not sure,,Don't know/not sure,,Don't know/not sure,,Don't know/not sure,,Don't know/not sure,,Don't know/not sure,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1920,8th grade or less,Moderate,"If these categories do not accurately reflect how you self-identify, use this box to write your response",,Going to school,,Never,"$20,000-$30,000"
Neutral,Neutral,Neutral,Neither similar nor different,,Very comfortable,,Comfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,Comfortable,,Don't know/not sure,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,,,,,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,,1947,High school diploma or GED,Moderate,White,,Working for pay,,Once a week,"$80,000-$100,000"
Agree,Disagree,Disagree,Don't know/not sure,none,Very comfortable,Common today,Comfortable,Ok by me.,Neither comfortable nor uncomfortable,none,Comfortable,Need more milk.,Very comfortable,sound reasonable,Comfortable,Again sounds reasonable.,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",none,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",none,,,,,Agree,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,"Strongly agree
","Strongly agree
",Strongly disagree,"Strongly agree
",Disagree,Disagree,Disagree,Male,,1952,"Bachelors (BA, BS, AB)",Very conservative,White,,Working for pay,,Once a week,"Greater than $100,000"
Strongly disagree,Strongly agree,Don't know/ not sure,Don't know/not sure,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,"No change: production of gene-edited crops and pesticide use stay the same
 ",,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",,,,,,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Female,,1961,High school diploma or GED,Conservative,White,,Looking for work,,Never,"$20,000-$30,000"
Agree,Disagree,Strongly disagree,Neither similar nor different,,Uncomfortable,,Uncomfortable,,Very uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Very uncomfortable,,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Strongly disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Don't know/not sure,Agree,Agree,Agree,Agree,Male,,1956,High school diploma or GED,Liberal,White,,Retired,,Never,"$30,000-$40,000"
Agree,Agree,Agree,Somewhat similar,Its altering a gene no matter which definitions ,Neither comfortable nor uncomfortable,I prefer the old heirloom  types,Neither comfortable nor uncomfortable,Depends on taste,Comfortable,It's for safety,Comfortable,More available  to sell,Very comfortable,"More produce for farmers to sell
",Comfortable,Why not?,,,,,"A small decrease in production of gene-edited crops, in exchange for a small increase in pesticide use
 ",,"A small decrease in use of gene-edited crops, in exchange for a small loss of biodiversity
 ",,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Don't know/not sure,Agree,Neutral,Disagree,Agree,Female,,1968,"Some college, no degree",Moderate,White,,Other (add details here),Unemployed during to covid 19,"Rarely
","$30,000-$40,000"
Agree,Agree,Agree,Somewhat different,by reading they do not conside,Neither comfortable nor uncomfortable,,Comfortable,,Very comfortable,cattle will not hurt each other,Very comfortable,,Comfortable,"we need wheat to be grown all over country,so this is good thing",Comfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",,,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,"Strongly agree
",Male,,1940,Associates (2-year degree),Conservative,White,,Retired,,"Rarely
","$30,000-$40,000"
Agree,Strongly agree,Strongly agree,Somewhat similar,,Uncomfortable,,Uncomfortable,Don’t play with gods creation!!!,Uncomfortable,Don’t play with gods creation,Uncomfortable,Don’t play with gods creation,Uncomfortable,Don’t play with gods creation ,Uncomfortable,Don’t play with gods creation,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Male,,1987,High school diploma or GED,Conservative,White,,Working for pay,,More than once a week,"$80,000-$100,000"
Strongly agree,Strongly agree,Disagree,Very different,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Neutral,Don't know/ not sure,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Male,,1960,"Masters (MA, MS, MBA, Med)",Moderate,White,,Working for pay,,"Rarely
","Greater than $100,000"
